epoch,train_loss,val_loss,train_miou,val_miou,lr
1,1.072062,1.055180,0.150207,0.103021,0.00010000
2,1.009735,1.021981,0.170045,0.123977,0.00010000
3,0.969345,1.027380,0.185442,0.146309,0.00010000
4,0.927416,1.035215,0.196150,0.156158,0.00010000
5,0.940595,1.032594,0.213068,0.164526,0.00010000
6,0.890548,1.018378,0.226610,0.180677,0.00010000
7,0.921635,0.998270,0.211685,0.199003,0.00010000
8,0.846776,0.981322,0.263723,0.222056,0.00010000
9,0.848701,0.962387,0.245074,0.243521,0.00010000
10,0.854134,0.946464,0.259402,0.253117,0.00010000
11,0.784974,0.939546,0.317682,0.258098,0.00010000
12,0.803813,0.930623,0.295707,0.259263,0.00010000
13,0.750113,0.928996,0.339312,0.260718,0.00010000
14,0.786302,0.931176,0.293224,0.262247,0.00010000
15,0.768986,0.932364,0.309410,0.267299,0.00010000
16,0.720842,0.931805,0.349111,0.271540,0.00010000
17,0.719502,0.927364,0.351519,0.277024,0.00010000
18,0.719386,0.930306,0.377029,0.277400,0.00010000
19,0.672351,0.918294,0.409939,0.281138,0.00010000
20,0.714415,0.913868,0.338260,0.287810,0.00010000
21,0.669873,0.900508,0.415229,0.290156,0.00010000
22,0.632793,0.885152,0.463472,0.300803,0.00010000
23,0.664355,0.865497,0.422928,0.317873,0.00010000
24,0.625106,0.845962,0.470622,0.330907,0.00010000
25,0.616565,0.822150,0.509333,0.351582,0.00010000
26,0.664698,0.801987,0.443597,0.366162,0.00010000
27,0.589465,0.788219,0.533249,0.376232,0.00010000
28,0.632716,0.769359,0.458115,0.395105,0.00010000
29,0.573162,0.776387,0.560359,0.380354,0.00010000
30,0.549854,0.790520,0.587162,0.374652,0.00010000
31,0.586348,0.788706,0.518620,0.383112,0.00010000
32,0.580520,0.775303,0.535151,0.405193,0.00010000
33,0.529316,0.759800,0.628874,0.425082,0.00010000
34,0.507037,0.741968,0.642534,0.445239,0.00010000
35,0.533542,0.719310,0.621976,0.474009,0.00010000
36,0.554136,0.700561,0.565351,0.490293,0.00010000
37,0.540011,0.691190,0.595667,0.491866,0.00010000
38,0.556729,0.678735,0.578578,0.496568,0.00010000
39,0.480107,0.683181,0.688925,0.490975,0.00010000
40,0.500610,0.711606,0.604319,0.465082,0.00010000
41,0.526411,0.729470,0.604840,0.438722,0.00010000
42,0.538660,0.740412,0.543586,0.432333,0.00010000
43,0.445587,0.744331,0.724236,0.427533,0.00010000
44,0.580799,0.735397,0.484281,0.420258,0.00010000
45,0.424179,0.725518,0.745425,0.423099,0.00005000
46,0.489229,0.703813,0.627823,0.447394,0.00005000
47,0.672669,0.681718,0.495635,0.469220,0.00005000
48,0.464846,0.664135,0.677466,0.484635,0.00005000
